Brut Product,Artikelbeschreibung,Artikelgruppe,Artikelnr,Sorte
koawach             Klassik        100g,koawach klassik bio 100g ft,Trockensortiment,11001,klassik
koawach Kakao&Guar. Schoko Drink 235ml,koawach drink original schoko bio ft,Frischesortiment,8200,original schoko
koawach Schoko      Mandel Drink 235ml,koawach drink schoko mandel bio,Frischesortiment,8400,mandel schoko
koawach             Pur            100g,koawach pur bio 100g ft,Trockensortiment,61001,pur
koawach Dschungel-  kakao f. Kinder 100g,koawach dschungelkakao bio 100g,Trockensortiment,51001,dschungel
koawach Kakao&Guar. weißer S.Drink 235ml,koawach drink weiße schoko bio ft,Frischesortiment,8300,weiße schoko
koawach Zimt        Kardamom       100g,koawach zimt kardamom bio 100g ft,Trockensortiment,21001,zimt
koawach             Pfefferminz     100g,koawach pfefferminz bio 100g ft,Trockensortiment,71001,pfefferminz
koawach             Vanille        100g,koawach vanille bio 100g ft,Trockensortiment,101001,vanille
koawach Kakao Kara- mell u.Meersalz 100g,koawach typ karamell + meersalz bio 100g ft,Trockensortiment,111001,meersalz
koawach Kakao Pulver Lebkuchen      100g,koawach typ lebkuchen bio 100g ft,Trockensortiment,131001,lebkuchen
koawach Kakao Pulver Apfelstrudel  100g*,koawach typ apfelstrudel bio 100g ft,Trockensortiment,141001,apfelstrudel
koawach Kakao Pulver Kurkuma       100g*,koawach kurkuma bio 100g ft,Trockensortiment,121001,kurkuma
koawach Kakao PulverSonnengruß Zi. 100g*,koawach sonnengruß bio 100g ft,Trockensortiment,161001,sonnengruß
koawach Kakao Pulver Feuer+Flamme  100g*,koawach feuer & flamme bio 100g ft,Trockensortiment,151001,feuer
koawach      Kakao  Schoko Drink 235ml,koawach drink original schoko bio ft,Frischesortiment,8200,original schoko
koawach Kakao Schoko Drink 235ml,koawach drink original schoko bio ft,Frischesortiment,8200,original schoko
koawach Schoko Mandel Drink 235ml,koawach drink schoko mandel bio,Frischesortiment,8400,mandel schoko
koawach Pur 100g,koawach pur bio 100g ft,Trockensortiment,61001,pur
koawach Kakao Pulver Apfelstrudel 100g*,koawach typ apfelstrudel bio 100g ft,Trockensortiment,141001,apfelstrudel
koawach Kakao Pulver Kurkuma 100g*,koawach kurkuma bio 100g ft,Trockensortiment,121001,kurkuma
koawach Kakao Drink weiße Schoko 235ml,koawach drink weiße schoko bio ft,Frischesortiment,8300,weiße schoko
koawach Kakao PulverFeuer+Flamme 100g,koawach feuer & flamme bio 100g ft,Trockensortiment,151001,feuer
koawach Klassik 100g,koawach klassik bio 100g ft,Trockensortiment,11001,klassik
koawach Vanille 100g,koawach vanille bio 100g ft,Trockensortiment,101001,vanille
koawach Kakao Pulver Lebkuchen 100g,koawach typ lebkuchen bio 100g ft,Trockensortiment,131001,lebkuchen
koawach Zimt Kardamom 100g,koawach zimt kardamom bio 100g ft,Trockensortiment,21001,zimt
koawach Kakao PulverFeuer+Flamme    100g,koawach feuer & flamme bio 100g ft,Trockensortiment,151001,feuer
Himbeere235ml,koawach drink weiße schoko + himbeere bio ft,Frischesortiment,8320,weiße Himbeere
Koawach Drink WeisseSchoko Himbeere235ml,koawach drink weiße schoko + himbeere bio ft,Frischesortiment,8320,weiße Himbeere
koawach SchokoriegelCashew Himbeere  40g,koawach riegel cashew himbeere 40g bio ft,Riegel,7200,ch
koawach SchokoriegelHaselnuss Crunch 40g,Tray koawach riegel haselnuss crunch 40g bio ft (á 12 Riegel),Riegel,7300,hc
koawach Glücks-     momente Kekse   60g*,,Glückskekse,,Glückskekse
koawach SchokoriegelErdnuss Karamell 40g,Tray koawach riegel typ erdnuss karamell meersalz 40g bio ft (á 12 Riegel),Riegel,7100,ekm
koawach Kakao       Weisse Schoko   100g,koawach typ weisse schoko bio 100g ft,Trockensortiment,171001,wsp
koawach Kakao Pulver Feuer+Flamme 100g*,koawach feuer & flamme bio 100g ft,Trockensortiment,151001,feuer
koawach Drink       Hafer Banane   235ml,koawach drink hafer + bananel bio ft,Frischesortiment,8900,hb
koawach Kakao Schoko Drink 235ml,,,,
